Time Diff, Data, meas

2574,494,ACC1X
2577,519,ACC1Y
2577,603,ACC1Z
2578,0,CHIP1T
2598,0,REVCNT
2601,0,RPM
2601,0,TPS
2603,108,MAP
2624,0,REVCNT
2626,0,RPM
2627,0,TPS
2627,109,MAP
2654,0,REVCNT
2656,0,RPM
2657,0,TPS
2657,109,MAP
2679,0,REVCNT
2681,0,RPM
2682,0,TPS
2682,109,MAP
2706,494,ACC1X
2709,519,ACC1Y
2710,603,ACC1Z
2710,0,CHIP1T
2729,0,REVCNT
2733,0,RPM
2733,0,TPS
2734,109,MAP
2751,0,REVCNT
2754,0,RPM
2754,0,TPS
2755,109,MAP
2777,0,REVCNT
2780,0,RPM
2781,0,TPS
2781,109,MAP
2802,0,REVCNT
2805,0,RPM
2805,0,TPS
2806,109,MAP
2826,494,ACC1X
2829,519,ACC1Y
2830,603,ACC1Z
2831,0,CHIP1T
2847,0,REVCNT
2850,0,RPM
2850,0,TPS
2850,109,MAP
2869,0,REVCNT
2872,0,RPM
2872,0,TPS
2873,109,MAP
2894,0,REVCNT
2897,0,RPM
2897,0,TPS
2898,109,MAP
2916,0,REVCNT
2919,0,RPM
2920,0,TPS
2920,109,MAP
2939,494,ACC1X
2942,519,ACC1Y
2944,603,ACC1Z
2944,0,CHIP1T
2960,0,REVCNT
2963,0,RPM
2963,0,TPS
2964,109,MAP
2981,0,REVCNT
2984,0,RPM
2984,0,TPS
2985,109,MAP
3008,0,REVCNT
3016,0,RPM
3017,0,TPS
3017,108,MAP
3035,0,REVCNT
3038,0,RPM
3039,0,TPS
3039,108,MAP
3058,494,ACC1X
3061,519,ACC1Y
3062,602,ACC1Z
3062,0,CHIP1T
3079,0,REVCNT
3082,0,RPM
3083,0,TPS
3083,109,MAP
3100,0,REVCNT
3103,0,RPM
3103,0,TPS
3104,109,MAP
3127,0,REVCNT
3130,0,RPM
3130,0,TPS
3131,109,MAP
3148,0,REVCNT
3151,0,RPM
3151,0,TPS
3152,108,MAP
3172,494,ACC1X
3175,519,ACC1Y
3175,603,ACC1Z
3176,0,CHIP1T
3192,0,REVCNT
3195,0,RPM
3195,0,TPS
3196,109,MAP
3214,0,REVCNT
3217,0,RPM
3221,0,TPS
3221,109,MAP
3245,0,REVCNT
3247,0,RPM
3248,0,TPS
3248,109,MAP
3266,0,REVCNT
3269,0,RPM
3269,0,TPS
3270,109,MAP
3290,494,ACC1X
3293,519,ACC1Y
3293,603,ACC1Z
3294,0,CHIP1T
3310,0,REVCNT
3313,0,RPM
3313,0,TPS
3314,109,MAP
3332,0,REVCNT
3335,0,RPM
3335,0,TPS
3336,108,MAP
3358,0,REVCNT
3360,0,RPM
3361,0,TPS
3361,109,MAP
3380,0,REVCNT
3382,0,RPM
3383,0,TPS
3383,109,MAP
3402,490,ACC1X
3405,520,ACC1Y
3406,605,ACC1Z
3407,0,CHIP1T
3424,0,REVCNT
3426,0,RPM
3427,0,TPS
3433,109,MAP
3450,0,REVCNT
3453,0,RPM
3453,0,TPS
3454,109,MAP
3477,0,REVCNT
3480,0,RPM
3480,0,TPS
3481,109,MAP
3499,99,LAMBDA1 AVG
3502,99,LAMBDA1 RAW
3503,59,LAMBDA2 AVG
3503,59,LAMBDA2 RAW
3504,656,KLAMBDA1
3504,656,KLAMBDA2
3523,490,ACC1X
3526,533,ACC1Y
3527,604,ACC1Z
3528,0,CHIP1T
3544,0,REVCNT
3547,0,RPM
3548,0,TPS
3548,109,MAP
3566,0,REVCNT
3568,0,RPM
3569,0,TPS
3569,109,MAP
3592,0,REVCNT
3595,0,RPM
3595,0,TPS
3596,108,MAP
3613,1,REVCNT
3616,253,RPM
3616,0,TPS
3617,108,MAP
3640,500,ACC1X
3643,516,ACC1Y
3644,606,ACC1Z
3644,0,CHIP1T
3660,1,REVCNT
3663,253,RPM
3664,0,TPS
3664,109,MAP
3683,1,REVCNT
3686,253,RPM
3686,0,TPS
3687,109,MAP
3708,1,REVCNT
3712,253,RPM
3712,0,TPS
3713,109,MAP
3730,1,REVCNT
3733,253,RPM
3734,0,TPS
3734,109,MAP
3753,497,ACC1X
3757,516,ACC1Y
3758,635,ACC1Z
3759,0,CHIP1T
3775,1,REVCNT
3778,253,RPM
3778,0,TPS
3779,109,MAP
3796,1,REVCNT
3800,253,RPM
3800,0,TPS
3801,108,MAP
3822,2,REVCNT
3825,323,RPM
3826,0,TPS
3826,108,MAP
3850,2,REVCNT
3853,323,RPM
3853,0,TPS
3854,109,MAP
3873,477,ACC1X
3876,539,ACC1Y
3877,605,ACC1Z
3877,0,CHIP1T
3894,2,REVCNT
3897,323,RPM
3898,0,TPS
3898,109,MAP
3915,2,REVCNT
3918,323,RPM
3919,0,TPS
3919,108,MAP
3941,2,REVCNT
3944,323,RPM
3945,0,TPS
3945,109,MAP
3963,2,REVCNT
3966,323,RPM
3966,0,TPS
3968,109,MAP
3986,493,ACC1X
3989,528,ACC1Y
3990,573,ACC1Z
3991,0,CHIP1T
4007,3,REVCNT
4009,330,RPM
4011,0,TPS
4011,109,MAP
4029,3,REVCNT
4031,330,RPM
4032,0,TPS
