Time Diff, Data, meas

4024,494,ACC1X
4027,520,ACC1Y
4028,603,ACC1Z
4028,0,CHIP1T
4049,0,REVCNT
4052,0,RPM
4052,0,TPS
4054,109,MAP
4071,0,REVCNT
4074,0,RPM
4075,0,TPS
4075,0,MAP
4098,0,REVCNT
4101,0,RPM
4101,0,TPS
4102,106,MAP
4119,0,REVCNT
4122,0,RPM
4122,0,TPS
4123,107,MAP
4142,494,ACC1X
4146,520,ACC1Y
4146,603,ACC1Z
4147,0,CHIP1T
4163,0,REVCNT
4165,0,RPM
4166,0,TPS
4166,108,MAP
4184,0,REVCNT
4187,0,RPM
4188,0,TPS
4188,108,MAP
4209,0,REVCNT
4212,0,RPM
4213,0,TPS
4213,108,MAP
4237,0,REVCNT
4240,0,RPM
4241,0,TPS
4241,109,MAP
4260,494,ACC1X
4263,520,ACC1Y
4264,603,ACC1Z
4264,0,CHIP1T
4281,0,REVCNT
4284,0,RPM
4285,0,TPS
4285,109,MAP
4302,0,REVCNT
4305,0,RPM
4306,0,TPS
4306,109,MAP
4329,0,REVCNT
4332,0,RPM
4333,0,TPS
4333,109,MAP
4350,3,DTPS+
4354,0,DTPS-
4355,20,DECAYINJ(+) - DECAYINJ(-)
4355,20,DECAYIGN(+) - DECAYIGN(-)
4374,495,ACC1X
4377,520,ACC1Y
4378,602,ACC1Z
4379,0,CHIP1T
4396,0,REVCNT
4399,0,RPM
4399,0,TPS
4399,109,MAP
4417,0,REVCNT
4419,0,RPM
4424,0,TPS
4424,109,MAP
4447,0,REVCNT
4450,0,RPM
4450,0,TPS
4451,109,MAP
4468,0,REVCNT
4471,0,RPM
4471,0,TPS
4472,109,MAP
4492,494,ACC1X
4495,520,ACC1Y
4495,602,ACC1Z
4496,0,CHIP1T
4512,0,REVCNT
4515,0,RPM
4515,0,TPS
4516,109,MAP
4534,0,REVCNT
4537,0,RPM
4537,0,TPS
4538,109,MAP
4559,0,REVCNT
4562,0,RPM
4562,0,TPS
4563,109,MAP
4581,0,REVCNT
4584,0,RPM
4584,0,TPS
4585,109,MAP
4604,494,ACC1X
4608,520,ACC1Y
4609,603,ACC1Z
4609,0,CHIP1T
4625,0,REVCNT
4628,0,RPM
4629,0,TPS
4635,109,MAP
4653,0,REVCNT
4656,0,RPM
4657,0,TPS
4657,109,MAP
4678,0,REVCNT
4681,0,RPM
4682,0,TPS
4682,109,MAP
4701,0,REVCNT
4703,0,RPM
4704,0,TPS
4704,109,MAP
4724,494,ACC1X
4727,520,ACC1Y
4727,603,ACC1Z
4728,0,CHIP1T
4745,0,REVCNT
4748,0,RPM
4748,0,TPS
4749,109,MAP
4766,0,SPPED1
4769,0,SPEED2
4769,0,BOH
4770,255,GRATTA_NEGRO
4792,0,REVCNT
4795,0,RPM
4796,0,TPS
4796,109,MAP
4813,0,REVCNT
4816,0,RPM
4817,0,TPS
4817,109,MAP
4837,494,ACC1X
4840,521,ACC1Y
4841,603,ACC1Z
4845,0,CHIP1T
4861,0,REVCNT
4865,0,RPM
4865,0,TPS
4866,109,MAP
4883,0,REVCNT
4886,0,RPM
4886,0,TPS
4887,109,MAP
4909,0,REVCNT
4912,0,RPM
4913,0,TPS
4913,109,MAP
4930,0,REVCNT
4933,0,RPM
4934,0,TPS
4934,109,MAP
4954,494,ACC1X
4957,520,ACC1Y
4958,603,ACC1Z
4959,0,CHIP1T
4974,0,REVCNT
4977,0,RPM
4978,0,TPS
4978,109,MAP
4996,0,REVCNT
4999,0,RPM
5000,0,TPS
5000,109,MAP
5022,0,REVCNT
5025,0,RPM
