Time Diff, Data, meas

5480,495,ACC1X
5483,520,ACC1Y
5483,606,ACC1Z
5484,0,CHIP1T
5505,0,REVCNT
5508,0,RPM
5509,0,TPS
5509,109,MAP
5527,0,REVCNT
5530,0,RPM
5530,0,TPS
5531,0,MAP
5553,0,REVCNT
5556,0,RPM
5557,0,TPS
5557,106,MAP
5574,0,REVCNT
5577,0,RPM
5578,0,TPS
5578,107,MAP
5598,495,ACC1X
5601,520,ACC1Y
5602,605,ACC1Z
5602,0,CHIP1T
5618,0,REVCNT
5621,0,RPM
5621,0,TPS
5622,108,MAP
5640,0,REVCNT
5643,0,RPM
5643,0,TPS
5644,108,MAP
5665,0,REVCNT
5668,0,RPM
5668,0,TPS
5669,108,MAP
5693,0,REVCNT
5696,0,RPM
5696,0,TPS
5696,108,MAP
5715,495,ACC1X
5719,520,ACC1Y
5720,606,ACC1Z
5721,0,CHIP1T
5737,0,REVCNT
5739,0,RPM
5740,0,TPS
5740,109,MAP
5758,0,REVCNT
5761,0,RPM
5762,0,TPS
5762,109,MAP
5785,0,REVCNT
5787,0,RPM
5788,0,TPS
5789,109,MAP
5807,3,DTPS+
5810,0,DTPS-
5810,20,DECAYINJ(+) - DECAYINJ(-)
5811,20,DECAYIGN(+) - DECAYIGN(-)
5830,495,ACC1X
5833,520,ACC1Y
5833,605,ACC1Z
5834,0,CHIP1T
5851,0,REVCNT
5854,0,RPM
5854,0,TPS
5855,109,MAP
5872,0,REVCNT
5875,0,RPM
5879,0,TPS
5879,109,MAP
5902,0,REVCNT
5905,0,RPM
5905,0,TPS
5906,109,MAP
5923,0,REVCNT
5926,0,RPM
5927,0,TPS
5927,109,MAP
5947,495,ACC1X
5950,521,ACC1Y
5951,605,ACC1Z
5951,0,CHIP1T
5967,0,REVCNT
5970,0,RPM
5971,0,TPS
5971,109,MAP
5989,0,REVCNT
5992,0,RPM
5993,0,TPS
5993,109,MAP
6017,0,REVCNT
6019,0,RPM
6020,0,TPS
6021,109,MAP
6038,0,REVCNT
6041,0,RPM
6041,0,TPS
6042,109,MAP
6062,494,ACC1X
6065,520,ACC1Y
6065,605,ACC1Z
6066,0,CHIP1T
6082,0,REVCNT
6085,0,RPM
6085,0,TPS
6092,109,MAP
6110,0,REVCNT
6113,0,RPM
6113,0,TPS
6114,109,MAP
6135,0,REVCNT
6138,0,RPM
6138,0,TPS
6139,109,MAP
6157,0,REVCNT
6160,0,RPM
6161,0,TPS
6161,109,MAP
6180,495,ACC1X
6183,520,ACC1Y
6184,605,ACC1Z
6184,0,CHIP1T
6201,0,REVCNT
6204,0,RPM
6205,0,TPS
6205,109,MAP
6222,0,REVCNT
6225,0,RPM
6226,0,TPS
6226,109,MAP
6248,0,REVCNT
6251,0,RPM
6252,0,TPS
6252,109,MAP
6270,0,REVCNT
6273,0,RPM
