Time Diff, Data, meas

2347,494,ACC1X
2350,521,ACC1Y
2351,603,ACC1Z
2351,0,CHIP1T
2367,0,REVCNT
2370,0,RPM
2371,0,TPS
2371,109,MAP
2388,0,REVCNT
2392,0,RPM
2393,0,TPS
2393,109,MAP
2427,0,REVCNT
2430,0,RPM
2430,0,TPS
2432,109,MAP
2516,0,REVCNT
2519,0,RPM
2520,0,TPS
2520,109,MAP
2609,493,ACC1X
2612,521,ACC1Y
2613,604,ACC1Z
2614,0,CHIP1T
2700,0,REVCNT
2703,0,RPM
2703,0,TPS
2704,108,MAP
2790,0,REVCNT
2793,0,RPM
2794,0,TPS
2794,109,MAP
2883,493,ACC1X
2886,521,ACC1Y
2887,603,ACC1Z
2928,0,CHIP1T
3014,0,REVCNT
3017,0,RPM
3017,0,TPS
3018,109,MAP
3105,0,REVCNT
3108,0,RPM
3108,0,TPS
3108,109,MAP
3198,493,ACC1X
3202,521,ACC1Y
3202,604,ACC1Z
3203,0,CHIP1T
3275,0,REVCNT
3278,0,RPM
3279,0,TPS
3279,109,MAP
3332,0,REVCNT
3335,0,RPM
3335,0,TPS
3336,109,MAP
3355,493,ACC1X
3358,521,ACC1Y
3359,604,ACC1Z
3359,0,CHIP1T
3376,0,REVCNT
3379,0,RPM
3380,0,TPS
3380,109,MAP
3398,0,REVCNT
3401,0,RPM
3401,0,TPS
3401,109,MAP
3424,0,REVCNT
3427,0,RPM
3428,0,TPS
3428,109,MAP
3450,0,REVCNT
3452,0,RPM
3453,0,TPS
3453,109,MAP
3474,493,ACC1X
3477,521,ACC1Y
3477,603,ACC1Z
3478,0,CHIP1T
3494,0,REVCNT
3497,0,RPM
3497,0,TPS
3499,109,MAP
3516,0,REVCNT
3519,0,RPM
3519,0,TPS
3520,109,MAP
3543,0,REVCNT
3545,0,RPM
3546,0,TPS
3546,109,MAP
3564,0,REVCNT
3567,0,RPM
3567,0,TPS
3568,109,MAP
3588,494,ACC1X
3591,521,ACC1Y
3592,603,ACC1Z
3592,0,CHIP1T
3608,0,REVCNT
3611,0,RPM
3612,0,TPS
3612,109,MAP
3630,0,REVCNT
3633,0,RPM
3634,0,TPS
3634,109,MAP
3656,0,REVCNT
3664,0,RPM
3665,0,TPS
3665,108,MAP
3684,0,REVCNT
3687,0,RPM
3687,0,TPS
3688,109,MAP
3707,493,ACC1X
3710,521,ACC1Y
3712,604,ACC1Z
3713,0,CHIP1T
3729,0,REVCNT
3731,0,RPM
3732,0,TPS
3732,109,MAP
3750,0,REVCNT
3753,0,RPM
3753,0,TPS
3755,108,MAP
3776,0,REVCNT
3779,0,RPM
3780,0,TPS
3780,108,MAP
3798,0,REVCNT
3801,0,RPM
3802,0,TPS
3802,109,MAP
3821,493,ACC1X
3824,521,ACC1Y
3825,603,ACC1Z
3825,0,CHIP1T
3842,0,REVCNT
3845,0,RPM
3846,0,TPS
3846,109,MAP
3864,0,REVCNT
3866,0,RPM
3871,0,TPS
3871,108,MAP
3894,0,REVCNT
3897,0,RPM
3897,0,TPS
3898,109,MAP
3915,0,REVCNT
3918,0,RPM
3918,0,TPS
3919,109,MAP
3939,494,ACC1X
3942,521,ACC1Y
3942,603,ACC1Z
3943,0,CHIP1T
3959,0,REVCNT
3962,0,RPM
3962,0,TPS
3963,109,MAP
3981,0,REVCNT
3984,0,RPM
3984,0,TPS
3985,109,MAP
